"Order";"Level";"Code";"Parent";"Description";"This_item_includes";"This_item_also_includes";"Rulings";"This_item_excludes";"Reference_to_ISIC_Rev._4"
398491;3;"01.2";"01";"Growing of perennial crops";"This group includes the growing of perennial crops, i.e. plants that lasts for more than two growing seasons, either dying back after each season or growing continuously. Included is the growing of these plants for the purpose of seed production.";"";"";"";"012"
398492;4;"01.21";"01.2";"Growing of grapes";"This class includes:
- growing of wine grapes and table grapes in vineyards";"";"";"This class excludes:
- manufacture of wine, see 11.02";"0121"
398493;4;"01.22";"01.2";"Growing of tropical and subtropical fruits";"This class includes:
- growing of tropical and subtropical fruits:
  . avocados
  . bananas and plantains
  . dates
  . figs
  . mangoes
  . papayas
  . pineapples
  . other tropical and subtropical fruits";"";"";"";"0122"
398494;4;"01.23";"01.2";"Growing of citrus fruits";"This class includes:
- growing of citrus fruits:
  . grapefruit and pomelo
  . lemons and limes
  . oranges
  . tangerines, mandarins and clementines
  . other citrus fruits";"";"";"";"0123"
398495;4;"01.24";"01.2";"Growing of pome fruits and stone fruits";"This class includes:
- growing of pome fruits and stone fruits:
  . apples
  . apricots
  . cherries and sour cherries
  . peaches and nectarines
  . pears and quinces
  . plums and sloes
  . other pome fruits and stone fruits";"";"";"";"0124"
398496;4;"01.25";"01.2";"Growing of other tree and bush fruits and nuts";"This class includes:
- growing of berries:
  . blueberries
  . currants
  . gooseberries
  . kiwi fruit
  . raspberries
  . strawberries
  . other berries
- growing of fruit seeds
- growing of edible nuts:
  . almonds
  . cashew nuts
  . chestnuts
  . hazelnuts
  . pistachios
  . walnuts
  . other nuts
- growing of other tree and bush fruits:
  . locust beans";"";"";"This class excludes:
- growing of coconuts, see 01.26";"0125"
398497;4;"01.26";"01.2";"Growing of oleaginous fruits";"This class includes:
- growing of oleaginous fruits:
  . coconuts
  . olives
  . oil palms
  . other oleaginous fruits";"";"";"This class excludes:
- growing of soya beans, groundnuts and other oil seeds, see 01.11";"0126"
398498;4;"01.27";"01.2";"Growing of beverage crops";"This class includes:
- growing of beverage crops:
  . coffee
  . tea
  . maté
  . cocoa 
  . other beverage crops";"";"";"";"0127"
398499;4;"01.28";"01.2";"Growing of spices, aromatic, drug and pharmaceutical crops";"This class includes:
- growing of perennial and non-perennial spices and aromatic crops:
  . pepper (piper sop.)
  . chillies and peppers (capsicum sop.)
  . nutmeg, mace and cardamoms
  . anise, badian and fennel
  . cinnamon (canella)
  . cloves
  . ginger
  . vanilla
  . hops
  . other spices and aromatic crops
- growing of drug and narcotic crops";"";"";"";"0128"
398500;4;"01.29";"01.2";"Growing of other perennial crops";"This class includes:
- growing of rubber trees for harvesting of latex
- growing of Christmas trees
- growing of trees for extraction of sap
- growing of vegetable materials of a kind used primarily for plaiting";"";"";"This class excludes:
- growing of flowers, production of cut flower buds and growing of flower seeds, see 01.19
- gathering of tree sap or rubber-like gums in the wild, see 02.30";"0129"
398501;3;"01.3";"01";"Plant propagation";"";"";"";"";"013"
398502;4;"01.30";"01.3";"Plant propagation";"This class includes the production of all vegetative planting materials including cuttings, suckers and seedlings for direct plant propagation or to create plant grafting stock into which selected scion is grafted for eventual planting to produce crops.

This class includes:
- growing of plants for planting
- growing of plants for ornamental purposes, including turf for transplanting
- growing of live plants for bulbs, tubers and roots; cuttings and slips; mushroom spawn 
- operation of tree nurseries, except forest tree nurseries";"";"- Nurturing and selling of tree seedlings";"This class excludes:
- growing of plants for the purpose of seed production, see 01.1, 01.2
- operation of forest tree nurseries, see 02.10";"0130"
398503;3;"01.4";"01";"Animal production";"This group includes raising (farming) and breeding of all animals, except aquatic animals.";"";"";"This group excludes: 
- farm animal boarding and care, see 01.62
- production of hides and skins from slaughterhouses, see 10.11";"014"
398504;4;"01.41";"01.4";"Raising of dairy cattle";"This class includes:
- raising and breeding of dairy cattle
- production of raw milk from cows or buffaloes";"";"";"This class excludes:
- processing of milk, see 10.51";"0141"
398505;4;"01.42";"01.4";"Raising of other cattle and buffaloes";"This class includes:
- raising and breeding of cattle and buffaloes for meat
- production of bovine semen";"";"";"";"0141"
398506;4;"01.43";"01.4";"Raising of horses and other equines";"This class includes:
- raising and breeding of horses, asses, mules or hinnies";"";"";"This class excludes:
- operation of racing and riding stables, see 93.19";"0142"
398507;4;"01.44";"01.4";"Raising of camels and camelids";"This class includes:
- raising and breeding of camels (dromedary) and camelids";"";"";"";"0143"
398508;4;"01.45";"01.4";"Raising of sheep and goats";"This class includes:
- raising and breeding of sheep and goats
- production of raw sheep or goat milk
- production of raw wool";"";"";"This class excludes:
- sheep shearing on a fee or contract basis, see 01.62
- production of pulled wool, see 10.11
- processing of milk, see 10.51";"0144"
398509;4;"01.46";"01.4";"Raising of swine/pigs";"This class includes:
- raising and breeding of swine (pigs)";"";"";"";"0145"
398510;4;"01.47";"01.4";"Raising of poultry";"This class includes:
- raising and breeding of poultry:
  . chickens, turkeys, ducks, geese and guinea fowls
- production of eggs from poultry
- operation of poultry hatcheries";"";"";"This class excludes:
- production of feathers or down, see 10.12";"0146"
398511;4;"01.49";"01.4";"Raising of other animals";"This class includes:
- raising and breeding of semi-domesticated or other live animals:
  . ostriches and emus
  . other birds (except poultry)
  . insects
  . rabbits and other fur animals
- production of fur skins, reptile or bird skins from ranching operation
- operation of worm farms, land mollusc farms, snail farms etc.
- raising of silk worms, production of silk worm cocoons
- bee-keeping and production of honey and beeswax
- raising and breeding of pet animals (except fish):
  . cats and dogs
  . birds, such as parakeets etc.
  . hamsters etc.
- raising of diverse animals";"";"- Production of fresh quail eggs and quail egg for hatching";"This class excludes:
- production of hides and skins originating from hunting and trapping, see 01.70
- operation of frog farms, crocodile farms, marine worm farms, see 03.21, 03.22
- operation of fish farms, see 03.21, 03.22
- boarding and training of pet animals, see 96.09
- raising and breeding of poultry, see 01.47";"0149"
398512;3;"01.5";"01";"Mixed farming";"";"";"";"";"015"
398513;4;"01.50";"01.5";"Mixed farming";"This class includes the combined production of crops and animals without a specialised production of crops or animals. The size of the overall farming operation is not a determining factor. If either production of crops or animals in a given unit is 66% or more of standard gross margins, the combined activity should not be included here, but allocated to crop or animal farming.";"";"";"This class excludes:
- mixed crop farming, see groups 01.1 and 01.2
- mixed animal farming, see group 01.4";"0150"
398514;3;"01.6";"01";"Support activities to agriculture and post-harvest crop activities";"This group includes activities incidental to agricultural production and activities similar to agriculture not undertaken for production purposes (in the sense of harvesting agricultural products), done on a fee or contract basis.";"Also included are post-harvest crop activities, aimed at preparing agricultural products for the primary market.";"";"";"016"
398515;4;"01.61";"01.6";"Support activities for crop production";"This class includes:
- agricultural activities on a fee or contract basis:
  . preparation of fields
  . establishing a crop
  . treatment of crops
  . crop spraying, including by air
  . trimming of fruit trees and vines
  . transplanting of rice, thinning of beets
  . harvesting
  . pest control (including rabbits) in connection with agriculture
- maintenance of agricultural land in good agricultural and environmental condition
- operation of agricultural irrigation equipment";"This class also includes:
- provision of agricultural machinery with operators and crew";"";"This class excludes:
- post-harvest crop activities, see 01.63
- drainage of agricultural land, see 43.12
- landscape architecture, see 71.11
- activities of agronomists and agricultural economists, see 74.90
- landscape gardening, planting, see 81.30
- organisation of agricultural shows and fairs, see 82.30";"0161"
398516;4;"01.62";"01.6";"Support activities for animal production";"This class includes:
- agricultural activities on a fee or contract basis:
  . activities to promote propagation, growth and output of animals
  . herd testing services, droving services, agistment services, poultry caponising, coop cleaning etc.
  . activities related to artificial insemination
  . stud services
  . sheep shearing
  . farm animal boarding and care";"This class also includes:
- activities of farriers";"- Automated egg hatching for poultry
- Operation of livestock management systems";"This class excludes:
- provision of space for animal boarding only, see 68.20
- veterinary activities, see 75.00
- vaccination of animals, see 75.00
- rental of animals (e.g. herds), see 77.39
- pet boarding, see 96.09";"0162"
398517;4;"01.63";"01.6";"Post-harvest crop activities";"This class includes:
- preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting
- cotton ginning
- preparation of tobacco leaves, e.g. drying
- preparation of cocoa beans, e.g. peeling
- waxing of fruit
- sun-drying of fruit and vegetables";"";"- Sun-drying of tobacco
- Sun-drying of herbs and spices";"This class excludes:
- preparation of agricultural products by the producer, see corresponding class in groups 01.1, 01.2 or 01.3
- post-harvest activities aimed at improving the propagation quality of seed, see 01.64 
- stemming and redrying of tobacco, see 12.00
- marketing activities of commission merchants and cooperative associations, see division 46
- wholesale of agricultural raw materials, see 46.2";"0163"
398518;4;"01.64";"01.6";"Seed processing for propagation";"This class includes all post-harvest activities aimed at improving the propagation quality of seed through the removal of non-seed materials, undersized, mechanically or insect-damaged and immature seeds as well as removing the seed moisture to a safe level for seed storage. This activity includes the drying, cleaning, grading and treating of seeds until they are marketed. The treatment of genetically modified seeds is included here.";"";"";"This class excludes:
- growing of seeds, see groups 01.1 and 01.2
- processing of seeds to obtain oil, see 10.41
- research to develop or modify new forms of seeds, see 72.11";"0164"
398519;3;"01.7";"01";"Hunting, trapping and related service activities";"";"";"";"";"017"
398520;4;"01.70";"01.7";"Hunting, trapping and related service activities";"This class includes:
- hunting and trapping on a commercial basis
- taking of animals (dead or alive) for food, fur, skin, or for use in research, in zoos or as pets
- production of fur skins, reptile or bird skins from hunting or trapping activities";"This class also includes:
- land-based catching of sea mammals such as walrus and seal";"- Catching of frogs in the wild";"This class excludes:
- production of fur skins, reptile or bird skins from ranching operations, see group 01.49
- raising of game animals on ranching operations, see 01.4
- catching of whales, see 03.11
- production of hides and skins originating from slaughterhouses, see 10.11
- hunting for sport or recreation and related service activities, see 93.19
- service activities to promote hunting and trapping, see 94.99";"0170"
398521;2;"02";"A";"Forestry and logging";"This division includes the production of roundwood as well as the extraction and gathering of wild growing non-wood forest products. Besides the production of timber, forestry activities result in products that undergo little processing, such as firewood, charcoal and roundwood used in an unprocessed form (e.g. pit-props, pulpwood etc.). These activities can be carried out in natural or planted forests.";"";"";"Excluded is further processing of wood beginning with sawmilling and planing of wood, see division 16.";"02"
398522;3;"02.1";"02";"Silviculture and other forestry activities";"";"";"";"";"021"
398523;4;"02.10";"02.1";"Silviculture and other forestry activities";"This class includes:
- growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts
- growing of coppice, pulpwood and fire wood
- operation of forest tree nurseries

These activities can be carried out in natural or planted forests.";"";"- Growing of paulownia and willow";"This class excludes:
- growing of Christmas trees, see 01.29
- operation of tree nurseries, except for forest trees, see 01.30
- gathering of mushrooms and other wild growing non-wood forest products, see 02.30
- production of wood chips and particles, see 16.10";"0210"
398524;3;"02.2";"02";"Logging";"";"";"";"";"022"
398525;4;"02.20";"02.2";"Logging";"This class includes:
- production of roundwood for forest-based manufacturing industries
- production of roundwood used in an unprocessed form such as pit-props, fence posts and utility poles
- gathering and production of wood for energy
- gathering and production of forest harvesting residues for energy
- production of charcoal in the forest (using traditional methods)

The output of this activity can take the form of logs or fire wood.";"";"";"This class excludes:
- growing of Christmas trees, see 01.29
- growing of standing timber: planting, replanting, transplanting, thinning and conserving of forests and timber tracts, see 02.10
- gathering of wild growing non-wood forest products, see 02.30
- production of wood chips and particles, see 16.10
- production of charcoal through distillation of wood, see 20.14";"0220"
398526;3;"02.3";"02";"Gathering of wild growing non-wood products";"";"";"";"";"023"
398527;4;"02.30";"02.3";"Gathering of wild growing non-wood products";"This class includes:
- gathering of wild growing materials:
  . mushrooms, truffles
  . berries
  . nuts
  . balata and other rubber-like gums
  . cork
  . lac and resins
  . balsams
  . vegetable hair
  . eelgrass
  . acorns, horse chestnuts
  . mosses and lichens";"";"";"This class excludes:
- managed production of any of these products (except growing of cork trees), see division 01
- growing of mushrooms or truffles, see 01.13
- growing of berries or nuts, see 01.25
- gathering of fire wood, see 02.20
- production of wood chips, see 16.10";"0230"
398528;3;"02.4";"02";"Support services to forestry";"";"";"";"";"024"
398529;4;"02.40";"02.4";"Support services to forestry";"This class includes carrying out part of the forestry operation on a fee or contract basis.

This class includes:
- forestry service activities:
  . forestry inventories
  . forest management consulting services
  . timber evaluation
  . forest fire fighting and protection
  . forest pest control
- logging service activities:
  . transport of logs within the forest";"";"";"This class excludes:
- operation of forest tree nurseries, see 02.10
- draining of forestry land, see 43.12
- clearing of building sites, see 43.12";"0240"
398530;2;"03";"A";"Fishing and aquaculture";"This division includes capture fishery and aquaculture, covering the use of fishery resources from marine, brackish or freshwater environments, with the goal of capturing or gathering fish, crustaceans, molluscs and other marine organisms and products (e.g. aquatic plants, pearls, sponges etc).";"Also included are activities that are normally integrated in the process of production for own account (e.g. seeding oysters for pearl production). Service activities incidental to marine or freshwater fishery or aquaculture are included in the related fishing or aquaculture activities.";"";"This division does not include building and repairing of ships and boats (30.1, 33.15) and sport or recreational fishing activities (93.19). Processing of fish, crustaceans or molluscs is excluded, whether at land-based plants or on factory ships (10.20).";"03"
398531;3;"03.1";"03";"Fishing";"This group includes ""capture fishery"", i.e. the hunting, collecting and gathering activities directed at removing or collecting live wild aquatic organisms (predominantly fish, molluscs and crustaceans) including plants from the oceanic, coastal or inland waters for human consumption and other purposes by hand or more usually by various types of fishing gear such as nets, lines and stationary traps. Such activities can be conducted on the intertidal shoreline (e.g. collection of molluscs such as mussels and oysters) or shore based netting, or from home-made dugouts or more commonly using commercially made boats in inshore, coastal waters or offshore waters. Such activities also include fishing in restocked water bodies.";"";"";"";"031"
398532;4;"03.11";"03.1";"Marine fishing";"This class includes:
- fishing on a commercial basis in ocean and coastal waters
- taking of marine crustaceans and molluscs
- whale catching
- taking of marine aquatic animals: turtles, sea squirts, tunicates, sea urchins etc.";"This class also includes:
- activities of vessels engaged both in marine fishing and in processing and preserving of fish
- gathering of other marine organisms and materials: natural pearls, sponges, coral and algae";"";"This class excludes:
- capturing of marine mammals, except whales, e.g. walruses, seals, see 01.70
- processing of whales on factory ships, see 10.11
- processing of fish, crustaceans and molluscs on factory ships or in factories ashore, see 10.20
- rental of pleasure boats with crew for sea and coastal water transport (e.g. for fishing cruises), see 50.10
- fishing inspection, protection and patrol services, see 84.24
- fishing practiced for sport or recreation and related services, see 93.19
- operation of sport fishing preserves, see 93.19";"0311"
398533;4;"03.12";"03.1";"Freshwater fishing";"This class includes:
- fishing on a commercial basis in inland waters
- taking of freshwater crustaceans and molluscs
- taking of freshwater aquatic animals";"This class also includes:
- gathering of freshwater materials";"";"This class excludes:
- processing of fish, crustaceans and molluscs, see 10.20
- fishing inspection, protection and patrol services, see 84.24
- fishing practiced for sport or recreation and related services, see 93.19
- operation of sport fishing preserves, see 93.19";"0312"
398534;3;"03.2";"03";"Aquaculture";"This group includes ""aquaculture"" (or aquafarming), i.e. the production process involving the culturing or farming (including harvesting) of aquatic organisms (fish, molluscs, crustaceans, plants, crocodiles, alligators and amphibians) using techniques designed to increase the production of the organisms in question beyond the natural capacity of the environment (for example regular stocking, feeding and protection from predators). 

Culturing/farming refers to the rearing up to their juvenile and/or adult phase under captive conditions of the above organisms.";"In addition, ""aquaculture"" also encompasses individual, corporate or state ownership of the individual organisms throughout the rearing or culture stage, up to and including harvesting.";"";"";"032"
398535;4;"03.21";"03.2";"Marine aquaculture";"This class includes:
- fish farming in sea water including farming of marine ornamental fish
- production of bivalve spat (oyster mussel etc.), lobsterlings, shrimp post-larvae, fish fry and fingerlings
- growing of laver and other edible seaweeds
- culture of crustaceans, bivalves, other molluscs and other aquatic animals in sea water";"This class also includes:
- aquaculture activities in brackish waters
- aquaculture activities in salt water filled tanks and reservoirs
- operation of fish hatcheries (marine)
- operation of marine worm farms";"";"This class excludes:
- frog farming, see 03.22
- operation of sport fishing preserves, see 93.19";"0321"
398536;4;"03.22";"03.2";"Freshwater aquaculture";"This class includes:
- fish farming in freshwater including farming of freshwater ornamental fish
- culture of freshwater crustaceans, bivalves, other molluscs and other aquatic animals
- operation of fish hatcheries (freshwater)
- farming of frogs";"";"- Farming of frogs in freshwater";"This class excludes:
- aquaculture activities in salt water filled tanks and reservoirs, see 03.21
- operation of sport fishing preserves, see 93.19";"0322"
398537;1;"B";"";"MINING AND QUARRYING";"Mining and quarrying include the extraction of minerals occurring naturally as solids (coal and ores), liquids (petroleum) or gases (natural gas). Extraction can be achieved by different methods such as underground or surface mining, well operation, seabed mining etc.

This section includes supplementary activities aimed at preparing the crude materials for marketing, for example, crushing, grinding, cleaning, drying, sorting, concentrating ores, liquefaction of natural gas and agglomeration of solid fuels. These operations are often accomplished by the units that extracted the resource and/or others located nearby.

Mining activities are classified into divisions, groups and classes on the basis of the principal mineral produced. Divisions 05, 06 are concerned with mining and quarrying of fossil fuels (coal, lignite, petroleum, gas); divisions 07, 08 concern metal ores, various minerals and quarry products. 

Some of the technical operations of this section, particularly related to the extraction of hydrocarbons, may also be carried out for third parties by specialised units as an industrial service which is reflected in division 09.";"";"";"This section excludes:
- processing of the extracted materials, see section C (Manufacturing)
- usage of the extracted materials without a further transformation for construction purposes, see section F (Construction)
- bottling of natural spring and mineral waters at springs and wells, see 11.07
- crushing, grinding or otherwise treating certain earths, rocks and minerals not carried on in conjunction with mining and quarrying, see 23.9";"B"
398538;2;"05";"B";"Mining of coal and lignite";"This division includes the extraction of solid mineral fuels through underground or open-cast mining and includes operations (e.g. grading, cleaning, compressing and other steps necessary for transportation etc.) leading to a marketable product.";"";"";"This division does not include coking (see 19.10), services incidental to coal or lignite mining (see 09.90) or the manufacture of briquettes (see 19.20).";"05"
398539;3;"05.1";"05";"Mining of hard coal";"";"";"";"";"051"
398540;4;"05.10";"05.1";"Mining of hard coal";"This class includes:
- mining of hard coal: underground or surface mining, including mining through liquefaction methods
- cleaning, sizing, grading, pulverising, compressing etc. of coal to classify, improve quality or facilitate transport or storage";"This class also includes:
- recovery of hard coal from culm banks";"";"This class excludes:
- lignite mining, see 05.20
- peat digging, see 08.92
- support activities for hard coal mining, see 09.90
- test drilling for coal mining, see 09.90
- coke ovens producing solid fuels, see 19.10
- manufacture of hard coal briquettes, see 19.20
- work performed to develop or prepare properties for coal mining, see 43.12";"0510"
398541;3;"05.2";"05";"Mining of lignite";"";"";"";"";"052"
398542;4;"05.20";"05.2";"Mining of lignite";"This class includes:
- mining of lignite (brown coal): underground or surface mining, including mining through liquefaction methods
- washing, dehydrating, pulverising, compressing of lignite to improve quality or facilitate transport or storage";"";"";"This class excludes:
- hard coal mining, see 05.10
- peat digging, see 08.92
- support activities for lignite mining, see 09.90
- test drilling for coal mining, see 09.90
- manufacture of lignite fuel briquettes, see 19.20
- work performed to develop or prepare properties for coal mining, see 43.12";"0520"
398543;2;"06";"B";"Extraction of crude petroleum and natural gas";"This division includes the production of crude petroleum, the mining and extraction of oil from oil shale and oil sands and the production of natural gas and recovery of hydrocarbon liquids. This division includes the activities of operating and/or developing oil and gas field properties. Such activities may include drilling, completing and equipping wells; operating separators, emulsion breakers, desalting equipment and field gathering lines for crude petroleum; and all other activities in the preparation of oil and gas up to the point of shipment from the producing property.";"";"";"This division excludes:
- oil and gas field services, performed on a fee or contract basis, see 09.10
- oil and gas well exploration, see 09.10
- test drilling and boring, see 09.10
- refining of petroleum products, see 19.20
- geophysical, geologic and seismic surveying, see 71.12";"06"
398544;3;"06.1";"06";"Extraction of crude petroleum";"";"";"";"";"061"
398545;4;"06.10";"06.1";"Extraction of crude petroleum";"This class includes:
- extraction of crude petroleum oils";"This class also includes:
- extraction of bituminous or oil shale and tar sand
- production of crude petroleum from bituminous shale and sand
- processes to obtain crude oils: decantation, desalting, dehydration, stabilisation etc.";"";"This class excludes:
- support activities for oil and natural gas extraction, see 09.10
- oil and gas exploration, see 09.10
- manufacture of refined petroleum products, see 19.20
- recovery of liquefied petroleum gases in the refining of petroleum, see 19.20
- operation of pipelines, see 49.50";"0610"
398546;3;"06.2";"06";"Extraction of natural gas";"";"";"";"";"062"
398547;4;"06.20";"06.2";"Extraction of natural gas";"This class includes:
- production of crude gaseous hydrocarbon (natural gas)
- extraction of condensates
- draining and separation of liquid hydrocarbon fractions
- gas desulphurisation";"This class also includes:
- mining of hydrocarbon liquids, obtained through liquefaction or pyrolysis";"- Extraction of coal mine methane";"This class excludes:
- support activities for oil and natural gas extraction, see 09.10
- oil and gas exploration, see 09.10
- recovery of liquefied petroleum gases in the refining of petroleum, see 19.20
- manufacture of industrial gases, see 20.11
- operation of pipelines, see 49.50";"0620"
398548;2;"07";"B";"Mining of metal ores";"This division includes mining for metallic minerals (ores), performed through underground or open-cast extraction, seabed mining etc.";"This division also includes:
- ore dressing and beneficiating operations, such as crushing, grinding, washing, drying, sintering, calcining or leaching ore, gravity separation or flotation operations";"";"This division excludes:
- roasting of iron pyrites, see 20.13
- production of aluminium oxide, see 24.42
- operation of blast furnaces, see division 24";"07"
398549;3;"07.1";"07";"Mining of iron ores";"";"";"";"";"071"
398550;4;"07.10";"07.1";"Mining of iron ores";"This class includes:
- mining of ores valued chiefly for iron content
- beneficiation and agglomeration of iron ores";"";"";"This class excludes:
- extraction and preparation of pyrites and pyrrhotite (except roasting), see 08.91";"0710"
398551;3;"07.2";"07";"Mining of non-ferrous metal ores";"This group includes the mining of non-ferrous metal ores.";"";"";"";"072"
398552;4;"07.21";"07.2";"Mining of uranium and thorium ores";"This class includes:
- mining of ores chiefly valued for uranium and thorium content: pitchblende etc.
- concentration of such ores
- manufacture of yellowcake";"";"";"This class excludes:
- enrichment of uranium and thorium ores, see 20.13
- production of uranium metal from pitchblende or other ores, see 24.46
- smelting and refining of uranium, see 24.46";"0721"
398553;4;"07.29";"07.2";"Mining of other non-ferrous metal ores";"This class includes:
- mining and preparation of ores chiefly valued for non-ferrous metal content:
  . aluminium (bauxite), copper, lead, zinc, tin, manganese, chrome, nickel, cobalt, molybdenum, tantalum, vanadium etc.
  . precious metals: gold, silver, platinum";"";"";"This class excludes:
- mining and preparation of uranium and thorium ores, see 07.21
- production of aluminium oxide, see 24.42
- production of mattes of copper or of nickel, see 24.44, 24.45";"0729"
398554;2;"08";"B";"Other mining and quarrying";"This division includes extraction from a mine or quarry, but also dredging of alluvial deposits, rock crushing and the use of salt marshes. The products are used most notably in construction (e.g. sands, stones etc.), manufacture of materials (e.g. clay, gypsum, calcium etc.), manufacture of chemicals etc.";"";"";"This division does not include processing (except crushing, grinding, cutting, cleaning, drying, sorting and mixing) of the minerals extracted.";"08"
398555;3;"08.1";"08";"Quarrying of stone, sand and clay";"";"";"";"";"081"
398556;4;"08.11";"08.1";"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate";"This class includes:
- quarrying, rough trimming and sawing of monumental and building stone such as marble, granite, sandstone etc.
- breaking and crushing of ornamental and building stone
- quarrying, crushing and breaking of limestone
- mining of gypsum and anhydrite
- mining of chalk and uncalcined dolomite";"";"";"This class excludes:
- mining of chemical and fertiliser minerals, see 08.91
- production of calcined dolomite, see 23.52
- cutting, shaping and finishing of stone outside quarries, see 23.70";"0810"
398557;4;"08.12";"08.1";"Operation of gravel and sand pits; mining of clays and kaolin";"This class includes:
- extraction and dredging of industrial sand, sand for construction and gravel
- breaking and crushing of gravel 
- quarrying of sand
- mining of clays, refractory clays and kaolin";"";"- Crushing and breaking of gravel off mine site";"This class excludes:
- mining of bituminous sand, see 06.10";"0810"
398558;3;"08.9";"08";"Mining and quarrying n.e.c.";"";"";"";"";"089"
